filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_912.pdb,100.0,0.553648426588,0.298,0.331,-48.330,-6.32595750934,-9.88671566488,-6,-66.980,-200.794,-488.96,679.721,-2756.652,83.2133504125,6.49392425244,2.18222067182,-41.5231972535,0.0,29.877,-111.099,-312.735,1.85558861343,-10.7136576848,86.6,-2433.18862743,-5.889,1550.025,58.0,-32.392,456,-49.191,551.365,-2591.59277885,284.411,60.812,1,1.16890631552,-61.735
50_sugar_small_moves_660.pdb,75.0,2.35162105442,0.298,3.414,-48.330,-55.3369515996,39.0768674724,-11,-66.041,-200.091,-439.99,688.595,-2749.956,70.640758669,13.5644013378,4.83718588822,-39.7252246257,0.0,30.047,-111.099,-314.187,5.86823383291,-3.64318059941,60.82,-2445.76121918,-5.889,1546.769,56.0,-32.392,451,-47.863,552.135,-2640.60377294,315.518,60.812,0,5.18120953786,-61.735
50_sugar_small_moves_809.pdb,87.5,0.351711122118,0.296,0.393,-48.330,17.5929188602,-9.31616303227,-6,-67.006,-200.813,-488.39,680.284,-2749.562,461.847413203,6.17219213671,3.27002365429,-41.725134558,0.0,26.471,-111.099,-312.102,5.58574220121,-11.0353898005,70.1,-2054.55456464,-5.889,1547.875,52.0,-32.392,456,-50.315,550.819,-2567.67390248,283.906,60.812,1,5.66273304675,-61.735
50_sugar_small_moves_594.pdb,100.0,3.75136633164,0.296,0.331,-48.330,-68.2946017612,-8.09893735368,-11,-65.972,-200.091,-487.17,680.023,-2743.074,379.665249855,11.7827687924,3.12748457415,-38.3254793485,0.0,26.412,-111.099,-312.117,2.151562608,-5.42481314484,69.07,-2136.73672799,-5.889,1541.113,50.0,-32.392,451,-47.170,552.572,-2653.5614231,279.141,60.812,0,1.843376529,-61.735
50_sugar_small_moves_197.pdb,87.5,0.323820867744,0.296,0.800,-48.330,44.2849527566,-12.3630441079,-6,-66.805,-200.438,-491.43,679.871,-2750.127,177.597079533,7.77855195608,3.51752083363,-41.7530248124,0.0,26.692,-111.099,-312.215,2.5370843333,-9.42902998116,83.51,-2338.80489831,-5.889,1545.975,56.0,-32.392,456,-49.410,549.711,-2540.98186858,282.846,60.812,0,1.89344072276,-61.735
50_sugar_small_moves_209.pdb,100.0,3.85127396268,0.298,0.953,-48.330,-85.0536798748,0.982783718489,-9,-67.474,-200.091,-478.09,679.292,-2746.120,253.915673512,11.8285748004,2.5587371355,-38.2255717174,0.0,26.123,-111.099,-311.961,2.97404800325,-5.37900713686,63.92,-2262.48630433,-5.889,1545.913,62.0,-32.392,453,-48.206,558.339,-2670.32050121,283.478,60.812,0,3.30945184056,-61.735
50_sugar_small_moves_599.pdb,87.5,2.28847651787,0.298,0.708,-48.330,45.0792637347,-10.1837218333,-4,-67.251,-200.091,-489.25,680.765,-2755.413,143.997001429,5.34875080408,4.11343533345,-39.7883691623,0.0,28.209,-111.099,-313.491,4.05709693549,-11.8588311332,82.47,-2372.40497642,-5.889,1551.577,38.0,-32.392,458,-50.802,551.335,-2540.1875576,283.534,60.812,1,3.19074313079,-61.735
50_sugar_small_moves_700.pdb,87.5,1.65615606573,0.296,0.331,-48.330,20.8371679019,-5.01654630661,-9,-66.252,-200.091,-484.09,681.975,-2747.379,394.821301228,10.723604834,3.87412815982,-40.4206896144,0.0,27.170,-111.099,-312.606,3.9773611012,-6.48397710321,51.55,-2121.58067662,-5.889,1543.295,64.0,-32.392,453,-48.359,551.655,-2564.42965343,284.510,60.812,0,4.59426184567,-61.735
50_sugar_small_moves_183.pdb,87.5,3.10185907117,0.296,0.331,-48.330,31.5531482003,-8.48565257054,-9,-66.097,-200.091,-487.56,681.757,-2751.836,419.138601359,11.9349506908,3.40660817942,-38.974986609,0.0,24.898,-111.099,-313.097,2.67781841932,-5.27263124646,73.2,-2097.26337649,-5.889,1548.276,64.0,-32.392,453,-49.732,551.438,-2553.71367314,284.934,60.812,0,2.25103549979,-61.735
50_sugar_small_moves_897.pdb,87.5,2.11279068571,0.298,0.301,-48.330,37.4894473793,-1.43221919111,-11,-66.399,-200.091,-480.5,681.795,-2747.880,242.923000349,8.84450192759,3.65003637267,-39.9640549944,0.0,28.042,-111.099,-312.506,5.81740183574,-8.36308000965,64.95,-2273.4789775,-5.889,1541.516,64.0,-32.392,451,-48.205,555.967,-2547.77737396,285.291,60.812,0,4.22578328191,-61.735
