filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_328.pdb,87.5,3.12837184946,0.296,0.239,-48.330,-26.1449546246,2.13760885692,-9,-65.901,-200.091,-476.93,680.708,-2746.398,650.603522926,13.6521326794,5.08568179175,-38.9484738307,0.0,30.018,-111.099,-312.630,4.56520576343,-3.55544925789,42.27,-1865.79845492,-5.889,1542.751,64.0,-32.392,453,-48.461,552.942,-2611.41177596,288.227,60.812,0,5.72719038282,-61.735
50_sugar_small_moves_620.pdb,87.5,2.37959672136,0.298,0.239,-48.330,61.631260472,-2.14050635534,-11,-65.885,-200.091,-481.21,681.258,-2739.644,720.054393681,9.94977146258,5.1445241421,-39.6972489588,0.0,27.023,-111.099,-311.969,5.59202775567,-7.25781047466,45.36,-1796.34758416,-5.889,1534.763,72.0,-32.392,451,-48.574,559.785,-2523.63556086,280.218,60.812,0,7.12799705552,-61.735
50_sugar_small_moves_559.pdb,75.0,1.97658773445,0.298,0.239,-48.330,-8.54469762462,-1.97912093344,-11,-65.593,-200.091,-481.05,682.026,-2739.235,733.729793044,9.34555017102,5.60640736491,-40.1002579457,0.0,26.641,-111.099,-311.741,5.94464346073,-7.86203176622,41.24,-1782.6721848,-5.889,1535.710,68.0,-32.392,451,-48.431,556.854,-2593.81151896,280.907,60.812,0,6.24697036624,-61.735
50_sugar_small_moves_735.pdb,75.0,1.38136735227,0.298,0.239,-48.330,2.47469071096,10.581987206,-12,-65.553,-200.091,-468.49,683.145,-2741.632,866.650136068,9.14049543192,6.90000033262,-40.6954783279,0.0,32.766,-111.099,-311.980,9.56505457347,-8.06708650532,37.11,-1649.75184178,-5.889,1536.880,64.0,-32.392,450,-48.141,556.240,-2582.79213063,287.973,60.812,0,10.052494727,-61.735
50_sugar_small_moves_127.pdb,75.0,3.16000387599,0.296,0.239,-48.330,-150.195604202,12.4840082836,-12,-66.320,-200.091,-466.59,682.690,-2740.017,596.130920428,15.3072528389,7.89603068846,-38.9168418041,0.0,28.062,-111.099,-311.043,9.32328469462,-1.90032909836,40.21,-1920.27105742,-5.889,1539.071,70.0,-32.392,450,-47.014,556.996,-2735.46242554,289.178,60.812,0,9.31730116629,-61.735
50_sugar_small_moves_64.pdb,62.5,2.52215891928,0.298,3.261,-48.330,11.797789668,59.3449553363,-11,-66.329,-200.091,-419.73,685.618,-2744.597,517.212732221,13.6968472612,6.43084175066,-39.5546867609,0.0,40.256,-111.099,-312.551,9.17043565035,-3.51073467609,60.82,-1999.18924562,-5.889,1550.033,70.0,-32.392,451,-48.072,551.492,-2573.46903167,319.590,60.812,0,8.40329737401,-61.735
50_sugar_small_moves_136.pdb,75.0,1.47639561189,0.296,0.239,-48.330,59.1857128811,-5.24694239549,-7,-67.053,-200.091,-484.32,680.555,-2741.349,759.130911613,8.77430221273,4.8151732994,-40.6004500682,0.0,28.499,-111.099,-311.600,5.11617771404,-8.43327972451,46.39,-1757.27106623,-5.889,1536.227,74.0,-32.392,455,-48.721,556.827,-2526.08110846,280.486,60.812,0,5.10780878652,-61.735
50_sugar_small_moves_71.pdb,62.5,3.42356928257,0.298,0.239,-48.330,-387.565455564,21.8416166522,-13,-65.230,-200.091,-457.23,684.094,-2739.094,545.373309421,15.473563469,8.0640428381,-38.6532763976,0.0,31.398,-111.099,-311.550,13.8228390828,-1.73401846826,30.93,-1971.02866842,-5.889,1537.182,60.0,-32.392,449,-48.093,555.847,-2972.8322769,296.404,60.812,0,14.038112786,-61.735
50_sugar_small_moves_230.pdb,100.0,1.97462844937,0.298,0.239,-48.330,23.2976399971,-10.1938254131,-11,-65.842,-200.091,-489.27,682.573,-2747.389,590.991716997,6.6613717527,4.99089810335,-40.1022172308,0.0,29.144,-111.099,-312.225,5.18621038613,-10.5462101845,49.48,-1925.41026085,-5.889,1536.714,68.0,-32.392,451,-48.601,550.885,-2561.96918134,283.663,60.812,0,4.73017898817,-61.735
50_sugar_small_moves_787.pdb,87.5,2.22676214937,0.296,0.239,-48.330,46.9057469185,0.371037575647,-9,-66.060,-200.091,-478.7,682.306,-2739.176,922.262779876,11.1191890913,5.19493997349,-39.8500835308,0.0,28.089,-111.099,-311.924,6.05657635733,-6.08839284593,41.24,-1594.13919797,-5.889,1536.056,80.0,-32.392,453,-48.632,558.806,-2538.36107442,280.026,60.812,0,5.89915143403,-61.735
50_sugar_small_moves_521.pdb,62.5,2.01100056348,0.298,0.239,-48.330,-43.3511162795,6.20341979935,-9,-64.863,-200.091,-472.87,681.767,-2744.182,749.069561653,16.7437091822,7.5980486269,-40.0658451167,0.0,27.337,-111.099,-311.646,9.96551816246,-0.463872754989,43.3,-1767.33241619,-5.889,1544.228,66.0,-32.392,453,-48.771,555.558,-2628.61793762,285.891,60.812,0,9.15552427942,-61.735
