filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_762.pdb,87.5,7.69459831113,0.271,0.496,-48.330,33.8583635622,-43.2603438456,9,-66.260,-200.941,-3411.67,691.206,-5653.628,-157.334078413,-12.2595737561,-104.994468971,0.0,29.694,-111.099,-321.926,0.441151607098,-81.4005826723,98.97,-2673.73605626,-5.889,1622.977,54.0,-32.392,471,-50.538,547.796,-2551.40845777,184.263,60.812,2,3.550,1.0418918617,-61.735
50_sugar_small_moves_468.pdb,87.5,7.49266225216,0.271,0.657,-48.330,25.4357691719,-46.0115273045,6,-65.396,-200.972,-3414.42,689.357,-5653.347,-118.318259155,-9.46615712537,-105.19640503,0.0,28.893,-111.099,-319.924,0.443698330438,-78.6071660415,100.0,-2634.720237,-5.889,1622.624,68.0,-32.392,468,-49.214,549.389,-2559.83105216,180.636,60.812,2,1.234,0.909215208907,-61.735
50_sugar_small_moves_228.pdb,87.5,7.6880619599,0.270,0.504,-48.330,33.8178796805,-40.1985822622,5,-66.040,-201.540,-3408.61,689.603,-5653.660,-102.138087361,-4.48006360242,-105.001005322,0.0,26.037,-111.099,-320.239,0.441494613468,-73.6210725186,100.0,-2618.54006521,-5.889,1625.937,52.0,-32.392,467,-47.372,550.707,-2551.44894166,184.457,60.812,2,1.356,0.88698443986,-61.735
50_sugar_small_moves_548.pdb,87.5,7.0753913338,0.270,0.504,-48.330,36.7442538448,-45.044635383,7,-65.498,-201.769,-3413.46,690.081,-5657.238,-146.915184182,-10.1511276492,-105.613675948,0.0,27.445,-111.099,-320.584,0.441799011568,-79.2921365653,100.0,-2663.31716203,-5.889,1628.124,62.0,-32.392,469,-49.395,550.016,-2548.52256749,182.040,60.812,2,1.180,0.963754837101,-61.735
50_sugar_small_moves_147.pdb,87.5,7.05248239641,0.271,0.504,-48.330,75.2755154042,-42.4572579021,8,-66.579,-201.621,-3410.87,691.300,-5665.382,-110.213733567,-11.7831237693,-105.636584886,0.0,28.701,-111.099,-320.217,0.437846285843,-80.9241326855,100.0,-2626.61571141,-5.889,1631.099,64.0,-32.392,470,-48.573,549.282,-2509.99130593,184.792,60.812,2,4.186,1.01058569677,-61.735
50_sugar_small_moves_981.pdb,87.5,7.19963320196,0.270,0.504,-48.330,41.5461898514,-43.0490297233,11,-66.424,-201.640,-3411.46,694.441,-5677.701,-123.177426446,-13.8570988484,-105.48943408,0.0,28.143,-111.099,-324.002,0.436712550151,-82.9981077645,100.0,-2639.57940429,-5.889,1635.047,60.0,-32.392,473,-49.764,549.913,-2543.72063149,194.802,60.812,2,3.584,1.00205122747,-61.735
50_sugar_small_moves_939.pdb,87.5,7.57313249401,0.270,0.504,-48.330,32.647384314,-41.9076447161,10,-66.557,-201.607,-3410.32,694.185,-5673.744,-167.409724559,-13.0298047931,-105.115934788,0.0,29.546,-111.099,-324.285,0.437312530239,-82.1708137092,100.0,-2683.8117024,-5.889,1633.566,56.0,-32.392,472,-50.107,551.039,-2552.61943702,191.521,60.812,2,3.981,1.03631978724,-61.735
50_sugar_small_moves_256.pdb,87.5,6.98226460355,0.271,0.504,-48.330,24.4790494892,-34.8257019878,1,-65.483,-200.091,-3403.24,691.389,-5654.239,-169.084433911,-5.68345002171,-105.706802679,0.0,30.190,-111.099,-318.603,0.437460950316,-74.8244589378,97.94,-2685.48641176,-5.889,1622.911,66.0,-32.392,463,-48.200,549.818,-2560.78777185,183.276,60.812,2,3.650,1.03286603817,-61.735
50_sugar_small_moves_138.pdb,100.0,7.45608054924,0.270,0.504,-48.330,46.0395981883,-43.7515407826,7,-65.736,-201.616,-3412.16,689.629,-5653.867,-82.1102945682,-13.6048675439,-105.232986733,0.0,29.113,-111.099,-320.831,0.437787689096,-82.7458764601,100.0,-2598.51227241,-5.889,1622.115,54.0,-32.392,469,-49.530,549.650,-2539.22722315,183.523,60.812,2,3.246,0.907507773473,-61.735
50_sugar_small_moves_119.pdb,87.5,7.13019790814,0.270,0.504,-48.330,51.0095357101,-39.3923995907,7,-64.783,-201.058,-3407.81,690.197,-5655.231,-86.5769024048,-8.27189216216,-105.558869374,0.0,29.082,-111.099,-319.593,0.437273417087,-77.4129010783,100.0,-2602.97888025,-5.889,1625.633,50.0,-32.392,469,-49.507,549.220,-2534.25728563,182.681,60.812,2,3.413,0.92103394316,-61.735
